id,postcode,latitude,longitude
1,AB10 1XG,57.144165,-2.114848
2,AB10 6RN,57.137880,-2.121487
3,AB10 7JB,57.124274,-2.127190
4,AB11 5QN,57.142701,-2.093295
5,AB11 6UL,57.137547,-2.112233
6,AB11 8RQ,57.135978,-2.072115
7,AB12 3FJ,57.098003,-2.077438
8,AB12 4NA,57.064273,-2.130018
9,AB12 5GL,57.081938,-2.246567
10,AB12 9SP,57.148707,-2.097806
11,AB14 0TQ,57.101557,-2.268486
12,AB15 5HB,57.147428,-2.147266
13,AB15 6NA,57.151797,-2.185398
15,AB15 8UF,57.154006,-2.224402
16,AB15 9SE,57.118648,-2.174251
17,AB16 5ST,57.163466,-2.159333
18,AB16 6SZ,57.158751,-2.165215
19,AB16 7NX,57.168438,-2.161636
20,AB21 0AL,57.263420,-2.158605
21,AB21 0TF,57.221883,-2.273318
22,AB21 7LD,57.212136,-2.185602
23,AB21 7LE,57.211763,-2.182487
24,AB21 7LF,57.203430,-2.173906
25,AB21 7LG,57.210955,-2.181887
26,AB21 7LH,57.210265,-2.180907
27,AB21 7LJ,57.210353,-2.181967
28,AB21 7LL,57.212460,-2.184958
29,AB21 7LN,57.210324,-2.183374
30,AB21 7LP,57.209903,-2.182892
31,AB21 7LQ,57.209272,-2.183832
32,AB21 7LR,57.208904,-2.184046
33,AB21 7LS,57.208804,-2.184890
34,AB21 7LT,57.209069,-2.181779
35,AB21 7LU,57.208889,-2.182158
36,AB21 7LW,57.204774,-2.176262
37,AB21 7LX,57.210086,-2.180592
38,AB21 7LY,57.210186,-2.179284
39,AB21 7LZ,57.209432,-2.179297
40,AB21 7NA,57.209443,-2.177824
